window_end,factor,beta,t,portfolio
2009-08-31,US Tbill 1-3yr,0.4790004192775955,1.2773779004117642,Asset 1
2009-08-31,US Muni,0.09309127238571031,1.0082071241172104,Asset 1
2009-08-31,Gold,0.026918445869177698,1.2114973977081098,Asset 1
2009-09-30,HF FOF Div,-0.0931401892703084,-1.1219286050065236,Asset 1
2009-09-30,MSCI Canada,-0.0020695293229748483,-0.08937922332954822,Asset 1
2009-09-30,EM Bond,0.24238924650750682,2.725010487312996,Asset 1
2009-09-30,High Yield,-0.09459359243970736,-1.7831186261351848,Asset 1
2009-09-30,MSCI Japan,0.0174011167616432,0.5626141626154274,Asset 1
2009-09-30,Commodities,-0.006147839981462936,-0.19494621629708447,Asset 1
2009-09-30,US Dollar,0.10310273189002951,1.7154844800821705,Asset 1
2009-09-30,TIPs,0.03530113855161295,0.5289302819865261,Asset 1
2009-09-30,Global AGG,0.001838408956018881,0.016623148703988597,Asset 1
2009-09-30,US Tbill 1-3yr,0.4608358190841108,1.234984647113732,Asset 1
2009-09-30,US Muni,0.09330678822666481,1.0037737398702218,Asset 1
2009-09-30,Gold,0.02784674178954665,1.2487663844351478,Asset 1
2009-10-30,HF FOF Div,-0.0812657405239241,-0.9484017318128874,Asset 1
2009-10-30,MSCI Canada,-0.010527332480102384,-0.4528029428866687,Asset 1
2009-10-30,EM Bond,0.2186254432328081,2.3839753607002088,Asset 1
2009-10-30,High Yield,-0.07257555984623436,-1.3777011645403823,Asset 1
2009-10-30,MSCI Japan,0.015381036874490115,0.47991251319746153,Asset 1
2009-10-30,Commodities,-0.008862857690644007,-0.2653632182319831,Asset 1
2009-10-30,US Dollar,0.10750772256832077,1.7080093270011543,Asset 1
2009-10-30,TIPs,0.05753182488635944,0.8418569344719828,Asset 1
2009-10-30,Global AGG,0.018373650271959373,0.1610533397140817,Asset 1
2009-10-30,US Tbill 1-3yr,0.38461700793209574,1.005188219771158,Asset 1
2009-10-30,US Muni,0.05106262148610864,0.5625247593496575,Asset 1
2009-10-30,Gold,0.03208510717790602,1.3854198130249915,Asset 1
2009-11-30,HF FOF Div,-0.08634140720149536,-1.0197910013814175,Asset 1
2009-11-30,MSCI Canada,-0.005713144899491443,-0.25113209333561576,Asset 1
2009-11-30,EM Bond,0.2161846423865829,2.5225602844732937,Asset 1
2009-11-30,High Yield,-0.07070287206769058,-1.393981552444329,Asset 1
2009-11-30,MSCI Japan,0.015756628592239454,0.4981466399635474,Asset 1
2009-11-30,Commodities,-0.012974228831212435,-0.40935164622381154,Asset 1
2009-11-30,US Dollar,0.10516768006371985,1.699311440323461,Asset 1
2009-11-30,TIPs,0.06140121917118164,0.9230870506047815,Asset 1
2009-11-30,Global AGG,0.0029131649152112937,0.02551276334026482,Asset 1
2009-11-30,US Tbill 1-3yr,0.43640853258644813,1.135190238812583,Asset 1
2009-11-30,US Muni,0.052590073550068,0.5860110657644378,Asset 1
2009-11-30,Gold,0.03380127616268869,1.565405421217456,Asset 1
2009-12-31,HF FOF Div,-0.054659791094730764,-0.6290435726001238,Asset 1
2009-12-31,MSCI Canada,-0.00504543504687481,-0.21555189338498063,Asset 1
2009-12-31,EM Bond,0.19470226773844365,2.286333047121329,Asset 1
2009-12-31,High Yield,-0.06339977177993587,-1.2326732170259829,Asset 1
2009-12-31,MSCI Japan,0.01433299908504809,0.4381202807890087,Asset 1
2009-12-31,Commodities,-0.02843055404353683,-0.9129755513454862,Asset 1
2009-12-31,US Dollar,0.10343016157564767,1.617989763450315,Asset 1
2009-12-31,TIPs,0.06866438921673003,1.0140074514962638,Asset 1
2009-12-31,Global AGG,0.03508965993984939,0.3117964115333016,Asset 1
2009-12-31,US Tbill 1-3yr,0.42962350075719064,1.0907274437522965,Asset 1
2009-12-31,US Muni,0.027278808839764922,0.2987407202677081,Asset 1
2009-12-31,Gold,0.03987646108264397,1.8277234930300756,Asset 1
2010-01-29,HF FOF Div,-0.02742630385823932,-0.3341397885302388,Asset 1
2010-01-29,MSCI Canada,-0.011310882402732892,-0.49335267959586937,Asset 1
2010-01-29,EM Bond,0.16823748616681802,1.9673456893634895,Asset 1
2010-01-29,High Yield,-0.04772064293526624,-0.9549023980379457,Asset 1
2010-01-29,MSCI Japan,0.02484866971179122,0.7769116392840751,Asset 1
2010-01-29,Commodities,-0.03811843369277499,-1.268716410484528,Asset 1
2010-01-29,US Dollar,0.12136359492095959,1.8890618473684746,Asset 1
2010-01-29,TIPs,0.0886551052740421,1.2990669543846292,Asset 1
2010-01-29,Global AGG,0.03616005674795416,0.3253097923381359,Asset 1
2010-01-29,US Tbill 1-3yr,0.3977206550758834,1.0175436838316543,Asset 1
2010-01-29,US Muni,0.001716305312647393,0.018880467142854955,Asset 1
2010-01-29,Gold,0.047415992821055436,2.134803581164618,Asset 1
2010-02-26,HF FOF Div,-0.02452754941500033,-0.2961168154658282,Asset 1
