alpha,beta,t_alpha,t_beta,p_beta,rsq,adj_rsq,n,portfolio,factor
0.0018446051640079336,0.05195667223115401,1.4717880759806428,2.374656618234496,0.01917812729022699,0.04560854039331719,0.03752047717631146,120,Asset 4,US Small Cap
0.0016791124332538828,0.06862861116379745,1.347574740839279,2.837693212481661,0.005350821951236711,0.0638821331693401,0.0559489309080633,120,Asset 4,US Mid Cap
0.0011425478728242496,0.12049736944367145,1.0104960375355105,5.9438103065981425,2.8953066343811983e-08,0.23041243593142358,0.22389050742236782,120,Asset 4,Gold
0.0017955042255869984,0.07972384589834018,1.443289601918037,2.7260426526988257,0.007386988064777775,0.05924604176242543,0.051273550590920536,120,Asset 4,S&P500
0.0011390857577557336,1.0041605423678903,0.6824219929757159,6.314543135864122,4.949529954930305e-09,0.25256592383424337,0.24623173674809296,120,Asset 5,US Muni
0.0010921007377202667,2.62059796882941,0.6450326661595943,6.015921721570343,2.061626491047775e-08,0.2347169447073565,0.22823149508623242,120,Asset 5,US Tbill 1-3yr
-0.000818247950848405,1.651481052705218,-0.6798335507687607,13.855937993596463,1.6545855324227522e-26,0.6193388972150383,0.6161129556660132,120,Asset 5,US AGG
0.0011433043545204494,0.8402159816840091,0.8222959662785425,10.267133519495474,4.653125082488108e-18,0.47183263456414204,0.4673566399418043,120,Asset 5,Global AGG
0.0023771733132352734,-0.3793002605795063,1.317573252340834,-3.7320717042922786,0.0002936247172646786,0.10557517193276689,0.09799530050846827,120,Asset 5,US Dollar
0.0031207619570285984,0.11991839434746548,1.729344999318949,3.4438049235921047,0.0007947113475507429,0.09132767068987813,0.08362705772962287,120,Asset 5,Commodities
0.0027609865343109375,0.13870546738402006,1.4676271952582074,1.8684460343309832,0.06417998747602977,0.02873536295088408,0.020504306704705155,120,Asset 5,Long Short HF
0.0024836643745038078,0.16206100448467894,1.2918018764723522,1.6565963533160941,0.10025784965112283,0.022728287935322777,0.014446324273757694,120,Asset 5,Event Driven HF
0.0028948858887144716,0.19402314811411706,1.5368291104222302,1.5913846697731666,0.11419853937446746,0.021010972630795544,0.012714455449700623,120,Asset 5,HF FOF Div
