,US Muni,US Tbill 1-3yr,US AGG,Global AGG,US Dollar,Commodities,Long Short HF,Event Driven HF,HF FOF Div,Relative Value HF,EM Bond,TIPs,High Yield,MSCI World,MSCI Canada,MSCI EAFE,MSCI EM Equity,MSCI Europe,MSCI Japan,MSCI Asia ex-J,US Growth,US Value,US Small Cap,US Mid Cap,Gold,S&P500,Cash
Date,LM17TR,LT01TRUU,LBUSTRUU,LEGATRUU,USTW$,BCOMTR,HFRIEHI,HFRIEDI,HFRIFOFD,HFRIRVA,JPEIGLBL,SPBDU1ST,H0A0,NDDUWI,NDDUCA,NDDUEAFE,NDUEEGF,NDDUE15,NDDUJN,NDUECAXJ,RU10GRTR,RU10VATR,RU20INTR,RUMCINTR,GOLDS,SPTR,LD12TRUU
31-Oct,-0.53%,-0.02%,-0.79%,-1.49%,1.55%,-6.28%,-1.87%,-1.80%,-1.51%,-0.36%,-1.48%,-1.26%,-0.73%,-2.43%,-7.22%,-2.92%,-6.54%,-3.15%,-1.20%,-6.57%,-0.97%,-2.54%,-3.10%,-3.00%,-0.88%,-1.67%,0.27%
30-Nov,0.44%,0.33%,0.44%,-0.71%,1.71%,0.26%,2.13%,1.29%,1.70%,0.82%,1.53%,0.20%,0.48%,3.33%,5.38%,2.45%,8.27%,1.69%,4.27%,7.37%,4.31%,3.27%,4.85%,4.44%,6.00%,3.78%,0.31%
30-Dec,0.69%,0.39%,0.95%,0.99%,-0.88%,3.19%,2.32%,1.57%,2.01%,1.48%,1.85%,0.85%,0.92%,2.22%,4.42%,4.65%,5.91%,3.52%,8.58%,6.16%,-0.31%,0.61%,-0.46%,1.03%,4.85%,0.03%,0.32%
31-Jan,0.29%,0.15%,0.01%,1.26%,-1.53%,1.85%,3.95%,3.32%,2.84%,2.20%,1.20%,0.08%,1.58%,4.47%,8.77%,6.14%,11.17%,6.53%,5.04%,7.23%,1.76%,3.88%,8.97%,5.14%,10.04%,2.65%,0.32%
28-Feb,0.40%,0.08%,0.33%,-0.35%,0.85%,-6.26%,0.02%,0.97%,0.35%,0.62%,2.22%,-0.34%,0.63%,-0.15%,-1.83%,-0.22%,-0.12%,0.08%,-0.85%,0.04%,-0.16%,0.61%,-0.28%,-0.12%,-1.29%,0.27%,0.32%
31-Mar,-0.64%,0.12%,-0.98%,-0.99%,-0.07%,2.22%,2.55%,2.48%,1.66%,1.33%,-1.90%,-2.05%,0.63%,2.20%,1.51%,3.30%,0.88%,3.88%,2.52%,1.85%,1.48%,1.35%,4.85%,2.48%,3.94%,1.24%,0.38%
28-Apr,0.00%,0.31%,-0.18%,1.89%,-1.32%,6.78%,1.76%,1.63%,1.72%,1.12%,-0.08%,0.01%,0.64%,3.04%,4.87%,4.78%,7.12%,5.11%,2.91%,6.75%,-0.14%,2.54%,-0.02%,0.70%,12.13%,1.34%,0.38%
31-May,0.49%,0.14%,-0.11%,1.29%,-3.88%,0.96%,-2.32%,-0.54%,-1.97%,0.20%,-2.05%,0.21%,-0.06%,-3.42%,-2.67%,-3.88%,-10.48%,-2.76%,-6.22%,-7.46%,-3.39%,-2.53%,-5.62%,-3.37%,-1.41%,-2.88%,0.40%
30-Jun,-0.36%,0.18%,0.21%,-0.79%,1.09%,-1.55%,-0.53%,-0.12%,-0.63%,0.55%,-0.01%,0.36%,-0.38%,-0.03%,-1.61%,-0.01%,-0.24%,0.33%,-1.11%,-0.39%,-0.39%,0.64%,0.64%,0.12%,-4.55%,0.14%,0.40%
31-Jul,1.06%,0.75%,1.35%,1.00%,0.48%,3.21%,-0.54%,-0.44%,-0.22%,0.42%,3.27%,1.67%,1.07%,0.62%,0.28%,0.99%,1.41%,1.52%,-0.55%,0.12%,-1.90%,2.43%,-3.25%,-2.19%,3.39%,0.62%,0.41%
31-Aug,1.31%,0.71%,1.53%,1.16%,-0.89%,-3.60%,1.03%,1.06%,0.81%,0.71%,2.60%,1.88%,1.62%,2.60%,4.00%,2.75%,2.55%,3.16%,1.50%,3.47%,3.12%,1.67%,2.96%,2.54%,-1.48%,2.38%,0.43%
29-Sep,0.64%,0.51%,0.88%,-0.01%,0.48%,-6.02%,0.16%,0.23%,0.07%,0.37%,0.56%,0.25%,1.32%,1.19%,-3.02%,0.15%,0.83%,0.86%,-1.64%,3.48%,2.75%,1.99%,0.83%,1.81%,-4.62%,2.58%,0.44%
31-Oct,0.49%,0.38%,0.66%,0.97%,0.98%,4.74%,1.86%,2.33%,1.63%,1.23%,1.86%,-0.16%,1.46%,3.67%,4.78%,3.89%,4.75%,4.29%,1.74%,3.03%,3.52%,3.27%,5.76%,3.94%,1.39%,3.26%,0.39%
30-Nov,0.63%,0.51%,1.16%,2.44%,-1.09%,5.47%,2.00%,1.87%,1.78%,1.37%,1.27%,1.24%,1.60%,2.45%,2.85%,2.99%,7.43%,3.56%,0.71%,7.68%,1.98%,2.28%,2.63%,3.60%,6.82%,1.90%,0.42%
29-Dec,-0.29%,0.00%,-0.58%,-1.33%,-0.73%,-4.59%,1.35%,1.65%,1.79%,1.61%,0.67%,-2.50%,1.10%,2.03%,-0.70%,3.14%,4.50%,3.21%,2.48%,4.26%,0.34%,2.24%,0.33%,-0.01%,-1.74%,1.40%,0.43%
31-Jan,-0.24%,0.21%,-0.04%,-0.98%,1.82%,0.21%,1.16%,1.57%,1.29%,1.37%,-0.30%,0.23%,1.07%,1.18%,-0.30%,0.68%,-1.06%,0.59%,0.85%,-1.14%,2.57%,1.28%,1.67%,3.38%,2.59%,1.51%,0.41%
